Feature,Value,Model,Subject
error,0,AdaBoostRegressor(random_state=2024),subject_33
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_33
error,0,PassiveAggressiveRegressor(random_state=2024),subject_33
error,0,KNeighborsRegressor(n_jobs=-1),subject_33
error,0,ElasticNet(random_state=2024),subject_33
error,0,DummyRegressor(),subject_33
error,0,BayesianRidge(),subject_33
error,0,DecisionTreeRegressor(random_state=2024),subject_33
error,0,Lasso(random_state=2024),subject_33
error,0,LassoLars(random_state=2024),subject_33
error,0,OrthogonalMatchingPursuit(),subject_33
error,0,LinearRegression(n_jobs=-1),subject_33
error,0,LGBMRegressor(random_state=2024),subject_33
error,0,Ridge(random_state=2024),subject_33
error,0,HuberRegressor(),subject_33
error,0,Lars(random_state=2024),subject_33
error,0,AdaBoostRegressor(random_state=2024),subject_5
error,0,DecisionTreeRegressor(random_state=2024),subject_5
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_5
error,0,PassiveAggressiveRegressor(random_state=2024),subject_5
error,0,GradientBoostingRegressor(random_state=2024),subject_5
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_5
error,0,KNeighborsRegressor(n_jobs=-1),subject_5
error,0,Ridge(random_state=2024),subject_5
error,0,ElasticNet(random_state=2024),subject_5
error,0,DummyRegressor(),subject_5
error,0,BayesianRidge(),subject_5
error,0,Lasso(random_state=2024),subject_5
error,0,LassoLars(random_state=2024),subject_5
error,0,OrthogonalMatchingPursuit(),subject_5
error,0,LGBMRegressor(random_state=2024),subject_5
error,0,LinearRegression(n_jobs=-1),subject_5
error,0,HuberRegressor(),subject_5
error,0,Lars(random_state=2024),subject_5
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_6
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_6
error,0,AdaBoostRegressor(random_state=2024),subject_6
error,0,KNeighborsRegressor(n_jobs=-1),subject_6
error,0,GradientBoostingRegressor(random_state=2024),subject_6
error,0,LGBMRegressor(random_state=2024),subject_6
error,0,LinearRegression(n_jobs=-1),subject_6
error,0,PassiveAggressiveRegressor(random_state=2024),subject_6
error,0,DummyRegressor(),subject_6
error,0,BayesianRidge(),subject_6
error,0,LassoLars(random_state=2024),subject_6
error,0,Lasso(random_state=2024),subject_6
error,0,ElasticNet(random_state=2024),subject_6
error,0,OrthogonalMatchingPursuit(),subject_6
error,0,Ridge(random_state=2024),subject_6
error,0,HuberRegressor(),subject_6
error,0,DecisionTreeRegressor(random_state=2024),subject_6
error,0,Lars(random_state=2024),subject_6
error,0,PassiveAggressiveRegressor(random_state=2024),subject_7
error,0,GradientBoostingRegressor(random_state=2024),subject_7
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_7
error,0,DecisionTreeRegressor(random_state=2024),subject_7
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_7
error,0,AdaBoostRegressor(random_state=2024),subject_7
error,0,DummyRegressor(),subject_7
error,0,LGBMRegressor(random_state=2024),subject_7
error,0,BayesianRidge(),subject_7
error,0,OrthogonalMatchingPursuit(),subject_7
error,0,LassoLars(random_state=2024),subject_7
error,0,Lasso(random_state=2024),subject_7
error,0,ElasticNet(random_state=2024),subject_7
error,0,KNeighborsRegressor(n_jobs=-1),subject_7
error,0,Ridge(random_state=2024),subject_7
error,0,HuberRegressor(),subject_7
error,0,LinearRegression(n_jobs=-1),subject_7
error,0,Lars(random_state=2024),subject_7
error,0,PassiveAggressiveRegressor(random_state=2024),subject_8
error,0,GradientBoostingRegressor(random_state=2024),subject_8
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_8
error,0,DecisionTreeRegressor(random_state=2024),subject_8
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_8
error,0,DummyRegressor(),subject_8
error,0,LGBMRegressor(random_state=2024),subject_8
error,0,BayesianRidge(),subject_8
error,0,ElasticNet(random_state=2024),subject_8
error,0,LassoLars(random_state=2024),subject_8
error,0,Lasso(random_state=2024),subject_8
error,0,KNeighborsRegressor(n_jobs=-1),subject_8
error,0,OrthogonalMatchingPursuit(),subject_8
