Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),test_set
Logistic Regression,0.5573,0.5905,0.6967,0.5855,0.6313,0.0939,0.0852,0.209,"(9, 13, 16)"
Dummy Classifier,0.5491,0.5,1.0,0.5491,0.7078,0.0,0.0,0.207,"(9, 13, 16)"
Decision Tree Classifier,0.5464,0.5492,0.5133,0.599,0.5361,0.0953,0.0933,0.208,"(9, 13, 16)"
K Neighbors Classifier,0.5291,0.5017,0.5333,0.59,0.5483,0.0486,0.0567,0.197,"(9, 13, 16)"
Naive Bayes,0.5009,0.5788,0.6267,0.5535,0.5764,-0.0054,-0.0191,0.208,"(9, 13, 16)"
SVM - Linear Kernel,0.48,0.0,0.4,0.2145,0.2789,0.0,0.0,0.201,"(9, 13, 16)"
Extra Trees Classifier,0.678,0.7208,0.7714,0.6864,0.7203,0.3393,0.355,0.254,"(9, 13, 17)"
Linear Discriminant Analysis,0.6341,0.6601,0.6714,0.691,0.6647,0.2578,0.2733,0.21,"(9, 13, 17)"
Random Forest Classifier,0.5879,0.6915,0.6857,0.6105,0.6399,0.1549,0.1647,0.257,"(9, 13, 17)"
Ada Boost Classifier,0.5523,0.6264,0.5714,0.5877,0.5668,0.1015,0.1019,0.236,"(9, 13, 17)"
Light Gradient Boosting Machine,0.5508,0.5981,0.6548,0.5757,0.6019,0.0794,0.078,0.211,"(9, 13, 17)"
Decision Tree Classifier,0.547,0.5357,0.6048,0.5258,0.5538,0.0759,0.0773,0.208,"(9, 13, 17)"
Dummy Classifier,0.5447,0.5,1.0,0.5447,0.7051,0.0,0.0,0.208,"(9, 13, 17)"
Ridge Classifier,0.5439,0.0,0.6238,0.5877,0.5952,0.0662,0.0652,0.2,"(9, 13, 17)"
Quadratic Discriminant Analysis,0.5439,0.5017,0.9833,0.5455,0.7011,0.0047,0.0068,0.203,"(9, 13, 17)"
Gradient Boosting Classifier,0.5341,0.5733,0.6048,0.5616,0.5686,0.0536,0.0569,0.247,"(9, 13, 17)"
SVM - Linear Kernel,0.4917,0.0,0.5,0.2682,0.349,0.0,0.0,0.198,"(9, 13, 17)"
Logistic Regression,0.4902,0.4066,0.6238,0.5143,0.5552,-0.0455,-0.0489,0.209,"(9, 13, 17)"
K Neighbors Classifier,0.4833,0.4583,0.5095,0.5325,0.51,-0.0342,-0.0382,0.209,"(9, 13, 17)"
Naive Bayes,0.4455,0.4525,0.4738,0.491,0.4729,-0.1159,-0.1175,0.208,"(9, 13, 17)"
Random Forest Classifier,0.7822,0.8385,0.86,0.7933,0.8118,0.5527,0.5792,0.267,"(9, 15, 16)"
Light Gradient Boosting Machine,0.7756,0.816,0.84,0.7676,0.7907,0.5398,0.5692,0.216,"(9, 15, 16)"
Extra Trees Classifier,0.7611,0.8525,0.82,0.7658,0.7848,0.5108,0.5301,0.271,"(9, 15, 16)"
Gradient Boosting Classifier,0.7411,0.832,0.8,0.7486,0.767,0.4697,0.4822,0.244,"(9, 15, 16)"
Linear Discriminant Analysis,0.7156,0.8035,0.76,0.7421,0.7428,0.4189,0.4298,0.212,"(9, 15, 16)"
Ridge Classifier,0.7122,0.0,0.72,0.7255,0.7153,0.4152,0.4198,0.204,"(9, 15, 16)"
Decision Tree Classifier,0.6856,0.68,0.7,0.745,0.7075,0.3551,0.3575,0.205,"(9, 15, 16)"
Ada Boost Classifier,0.6844,0.718,0.74,0.7014,0.7103,0.3558,0.3703,0.23,"(9, 15, 16)"
Logistic Regression,0.6744,0.753,0.76,0.7043,0.7211,0.3336,0.3443,0.218,"(9, 15, 16)"
Quadratic Discriminant Analysis,0.5656,0.535,0.86,0.5669,0.6813,0.0734,0.0986,0.204,"(9, 15, 16)"
Dummy Classifier,0.5444,0.5,1.0,0.5444,0.7048,0.0,0.0,0.207,"(9, 15, 16)"
Naive Bayes,0.5311,0.618,0.54,0.58,0.5526,0.0533,0.0442,0.218,"(9, 15, 16)"
SVM - Linear Kernel,0.5,0.0,0.5,0.2722,0.3524,0.0,0.0,0.205,"(9, 15, 16)"
K Neighbors Classifier,0.4978,0.5685,0.5,0.4843,0.4829,-0.0084,-0.0087,0.204,"(9, 15, 16)"
Extra Trees Classifier,0.7555,0.808,0.77,0.8104,0.7699,0.5038,0.5339,0.258,"(9, 15, 17)"
Random Forest Classifier,0.7055,0.6907,0.7533,0.7467,0.7333,0.4076,0.4318,0.264,"(9, 15, 17)"
Linear Discriminant Analysis,0.6955,0.7125,0.7133,0.7527,0.7203,0.3751,0.3908,0.211,"(9, 15, 17)"
Gradient Boosting Classifier,0.6873,0.7557,0.7367,0.7275,0.7107,0.3671,0.3954,0.256,"(9, 15, 17)"
Ridge Classifier,0.6264,0.0,0.7533,0.6375,0.6751,0.2289,0.2531,0.207,"(9, 15, 17)"
Decision Tree Classifier,0.6191,0.6183,0.7067,0.6488,0.6638,0.2336,0.2529,0.214,"(9, 15, 17)"
Logistic Regression,0.6073,0.5983,0.6967,0.647,0.654,0.205,0.2196,0.216,"(9, 15, 17)"
Ada Boost Classifier,0.6027,0.6493,0.6633,0.6469,0.644,0.1787,0.186,0.238,"(9, 15, 17)"
Light Gradient Boosting Machine,0.5727,0.6167,0.6333,0.615,0.6104,0.1381,0.146,0.218,"(9, 15, 17)"
Dummy Classifier,0.5491,0.5,1.0,0.5491,0.7078,0.0,0.0,0.213,"(9, 15, 17)"
Quadratic Discriminant Analysis,0.53,0.5033,0.7667,0.5595,0.6431,0.0031,-0.0331,0.211,"(9, 15, 17)"
Naive Bayes,0.5009,0.5648,0.5833,0.553,0.5467,-0.0109,-0.0186,0.215,"(9, 15, 17)"
SVM - Linear Kernel,0.5,0.0,0.3,0.1745,0.2206,0.0,0.0,0.209,"(9, 15, 17)"
K Neighbors Classifier,0.4882,0.4998,0.46,0.5783,0.4953,-0.0128,0.0011,0.216,"(9, 15, 17)"
Extra Trees Classifier,0.6955,0.7717,0.7571,0.7351,0.7317,0.3811,0.4015,0.265,"(9, 16, 17)"
Light Gradient Boosting Machine,0.6871,0.711,0.7524,0.7067,0.722,0.3661,0.3771,0.221,"(9, 16, 17)"
Linear Discriminant Analysis,0.6864,0.7582,0.7548,0.6898,0.7074,0.3655,0.3964,0.22,"(9, 16, 17)"
Gradient Boosting Classifier,0.6765,0.7667,0.7548,0.7063,0.7188,0.3374,0.3597,0.251,"(9, 16, 17)"
Random Forest Classifier,0.6697,0.7131,0.7714,0.6911,0.7179,0.3254,0.3526,0.264,"(9, 16, 17)"
Ada Boost Classifier,0.6235,0.6617,0.719,0.6357,0.6721,0.2322,0.2431,0.245,"(9, 16, 17)"
Decision Tree Classifier,0.5727,0.5681,0.5929,0.6107,0.5873,0.139,0.1535,0.211,"(9, 16, 17)"
Ridge Classifier,0.5455,0.0,0.6881,0.5689,0.6189,0.0625,0.056,0.211,"(9, 16, 17)"
Quadratic Discriminant Analysis,0.5447,0.5,1.0,0.5447,0.7051,0.0,0.0,0.219,"(9, 16, 17)"
Dummy Classifier,0.5447,0.5,1.0,0.5447,0.7051,0.0,0.0,0.214,"(9, 16, 17)"
Logistic Regression,0.5205,0.542,0.6905,0.5524,0.6111,0.0061,-0.0065,0.219,"(9, 16, 17)"
K Neighbors Classifier,0.5008,0.4842,0.6071,0.5363,0.5644,-0.0273,-0.029,0.214,"(9, 16, 17)"
Naive Bayes,0.5008,0.5119,0.6238,0.5279,0.5642,-0.0183,-0.0329,0.212,"(9, 16, 17)"
SVM - Linear Kernel,0.4826,0.0,0.3333,0.2136,0.2518,-0.0065,-0.0069,0.21,"(9, 16, 17)"
Extra Trees Classifier,0.6,0.69,0.68,0.6706,0.6539,0.1879,0.2124,0.274,"(12, 13, 15)"
Light Gradient Boosting Machine,0.6,0.621,0.66,0.6638,0.6359,0.1966,0.2088,0.224,"(12, 13, 15)"
Random Forest Classifier,0.5989,0.6375,0.74,0.6528,0.6682,0.1733,0.1858,0.271,"(12, 13, 15)"
Gradient Boosting Classifier,0.5989,0.635,0.66,0.6392,0.6299,0.1935,0.208,0.261,"(12, 13, 15)"
Linear Discriminant Analysis,0.5889,0.645,0.56,0.6808,0.5971,0.1883,0.1944,0.216,"(12, 13, 15)"
Ada Boost Classifier,0.5789,0.568,0.64,0.6288,0.6247,0.1474,0.1567,0.241,"(12, 13, 15)"
Quadratic Discriminant Analysis,0.5656,0.555,0.68,0.5935,0.6172,0.109,0.1152,0.212,"(12, 13, 15)"
Dummy Classifier,0.5444,0.5,1.0,0.5444,0.7048,0.0,0.0,0.214,"(12, 13, 15)"
SVM - Linear Kernel,0.4889,0.0,0.5,0.2667,0.3476,0.0,0.0,0.22,"(12, 13, 15)"
Naive Bayes,0.4878,0.506,0.58,0.542,0.5368,-0.0347,-0.0065,0.217,"(12, 13, 15)"
Decision Tree Classifier,0.4811,0.4775,0.56,0.5216,0.5269,-0.0434,-0.0582,0.216,"(12, 13, 15)"
Ridge Classifier,0.4333,0.0,0.54,0.4721,0.4945,-0.1434,-0.158,0.214,"(12, 13, 15)"
K Neighbors Classifier,0.4244,0.399,0.5,0.44,0.4579,-0.1606,-0.1819,0.213,"(12, 13, 15)"
Logistic Regression,0.4133,0.417,0.5,0.4455,0.4546,-0.18,-0.1829,0.221,"(12, 13, 15)"
Linear Discriminant Analysis,0.6764,0.7217,0.75,0.7027,0.719,0.3271,0.3373,0.233,"(12, 13, 16)"
Light Gradient Boosting Machine,0.6673,0.7208,0.7667,0.6802,0.7123,0.3128,0.336,0.23,"(12, 13, 16)"
Gradient Boosting Classifier,0.6564,0.7055,0.7733,0.6687,0.7121,0.2937,0.3079,0.26,"(12, 13, 16)"
Ada Boost Classifier,0.6264,0.6683,0.6533,0.6546,0.6446,0.2381,0.2335,0.248,"(12, 13, 16)"
Extra Trees Classifier,0.5873,0.6708,0.6933,0.6102,0.6457,0.138,0.1389,0.265,"(12, 13, 16)"
Random Forest Classifier,0.58,0.6223,0.7367,0.5942,0.6538,0.1214,0.1307,0.273,"(12, 13, 16)"
Ridge Classifier,0.5782,0.0,0.7133,0.5966,0.6432,0.1367,0.1396,0.215,"(12, 13, 16)"
Dummy Classifier,0.5491,0.5,1.0,0.5491,0.7078,0.0,0.0,0.215,"(12, 13, 16)"
Naive Bayes,0.54,0.5768,0.5867,0.5842,0.5815,0.0566,0.0577,0.217,"(12, 13, 16)"
Logistic Regression,0.5382,0.5762,0.6733,0.569,0.6107,0.0327,0.0266,0.227,"(12, 13, 16)"
SVM - Linear Kernel,0.5291,0.0,0.9,0.4891,0.6328,0.0,0.0,0.221,"(12, 13, 16)"
Quadratic Discriminant Analysis,0.5182,0.4892,0.8033,0.541,0.6413,-0.0175,-0.0242,0.217,"(12, 13, 16)"
Decision Tree Classifier,0.4918,0.4983,0.4867,0.5405,0.5011,-0.0041,-0.0049,0.214,"(12, 13, 16)"
K Neighbors Classifier,0.4873,0.5095,0.55,0.5283,0.5278,-0.024,-0.0362,0.219,"(12, 13, 16)"
Linear Discriminant Analysis,0.7076,0.762,0.7071,0.7513,0.7173,0.4132,0.4277,0.218,"(12, 13, 17)"
Extra Trees Classifier,0.7045,0.783,0.8167,0.7087,0.7499,0.3918,0.4157,0.266,"(12, 13, 17)"
Light Gradient Boosting Machine,0.6432,0.6548,0.7524,0.6538,0.6963,0.2696,0.2768,0.223,"(12, 13, 17)"
Random Forest Classifier,0.6167,0.7033,0.7714,0.629,0.6891,0.2103,0.2087,0.275,"(12, 13, 17)"
Ada Boost Classifier,0.5712,0.5997,0.6381,0.6055,0.6154,0.1314,0.1329,0.252,"(12, 13, 17)"
Gradient Boosting Classifier,0.5712,0.6069,0.6548,0.5943,0.6182,0.1272,0.1348,0.267,"(12, 13, 17)"
Quadratic Discriminant Analysis,0.5614,0.5217,0.9833,0.5596,0.711,0.047,0.0382,0.221,"(12, 13, 17)"
Dummy Classifier,0.5447,0.5,1.0,0.5447,0.7051,0.0,0.0,0.222,"(12, 13, 17)"
Ridge Classifier,0.5379,0.0,0.6238,0.5708,0.5891,0.0616,0.0713,0.224,"(12, 13, 17)"
Logistic Regression,0.5364,0.544,0.6524,0.557,0.597,0.0529,0.0637,0.226,"(12, 13, 17)"
Decision Tree Classifier,0.5167,0.5119,0.5738,0.561,0.5645,0.0222,0.0225,0.22,"(12, 13, 17)"
SVM - Linear Kernel,0.4992,0.0,0.5,0.272,0.3521,0.0,0.0,0.216,"(12, 13, 17)"
Naive Bayes,0.4811,0.4727,0.6571,0.5165,0.5731,-0.0709,-0.0791,0.214,"(12, 13, 17)"
K Neighbors Classifier,0.4568,0.4236,0.5571,0.5181,0.5249,-0.1096,-0.103,0.22,"(12, 13, 17)"
Extra Trees Classifier,0.6967,0.732,0.8,0.6873,0.7338,0.3784,0.4024,0.269,"(12, 15, 16)"
Logistic Regression,0.6956,0.721,0.76,0.704,0.7231,0.3821,0.3915,0.228,"(12, 15, 16)"
Ridge Classifier,0.6856,0.0,0.74,0.7046,0.7112,0.3656,0.3808,0.22,"(12, 15, 16)"
Random Forest Classifier,0.6856,0.685,0.74,0.6992,0.7111,0.367,0.3823,0.274,"(12, 15, 16)"
Linear Discriminant Analysis,0.6556,0.75,0.68,0.6813,0.6669,0.2995,0.3161,0.238,"(12, 15, 16)"
Light Gradient Boosting Machine,0.6522,0.659,0.72,0.6814,0.6911,0.2909,0.3063,0.229,"(12, 15, 16)"
Gradient Boosting Classifier,0.6511,0.666,0.74,0.6529,0.6893,0.2902,0.3051,0.268,"(12, 15, 16)"
Ada Boost Classifier,0.6089,0.688,0.68,0.6571,0.6583,0.2003,0.2032,0.246,"(12, 15, 16)"
Decision Tree Classifier,0.5856,0.5825,0.62,0.6183,0.612,0.166,0.1715,0.223,"(12, 15, 16)"
Naive Bayes,0.5444,0.545,0.56,0.5921,0.5701,0.0875,0.091,0.219,"(12, 15, 16)"
Dummy Classifier,0.5444,0.5,1.0,0.5444,0.7048,0.0,0.0,0.225,"(12, 15, 16)"
K Neighbors Classifier,0.5333,0.5575,0.5,0.5798,0.522,0.0652,0.0756,0.223,"(12, 15, 16)"
SVM - Linear Kernel,0.5111,0.0,0.6,0.3278,0.4238,0.0,0.0,0.224,"(12, 15, 16)"
Quadratic Discriminant Analysis,0.4889,0.4825,0.56,0.5767,0.5254,-0.0373,-0.0365,0.225,"(12, 15, 16)"
Linear Discriminant Analysis,0.6864,0.7508,0.6933,0.7271,0.7026,0.3697,0.3793,0.23,"(12, 15, 17)"
Extra Trees Classifier,0.6464,0.6792,0.7467,0.6491,0.6829,0.2746,0.3011,0.276,"(12, 15, 17)"
Gradient Boosting Classifier,0.6273,0.6497,0.6833,0.681,0.6617,0.247,0.2635,0.267,"(12, 15, 17)"
Random Forest Classifier,0.6255,0.6601,0.7267,0.6322,0.6646,0.2285,0.2576,0.279,"(12, 15, 17)"
Ada Boost Classifier,0.5891,0.5747,0.63,0.63,0.6164,0.1638,0.172,0.25,"(12, 15, 17)"
K Neighbors Classifier,0.5682,0.5416,0.5733,0.6377,0.5746,0.1277,0.1425,0.223,"(12, 15, 17)"
Dummy Classifier,0.5491,0.5,1.0,0.5491,0.7078,0.0,0.0,0.229,"(12, 15, 17)"
Logistic Regression,0.52,0.5347,0.61,0.5639,0.5709,0.0317,0.0307,0.227,"(12, 15, 17)"
Ridge Classifier,0.52,0.0,0.59,0.57,0.5664,0.0253,0.0082,0.214,"(12, 15, 17)"
Light Gradient Boosting Machine,0.52,0.5547,0.6067,0.5605,0.5709,0.0056,0.0077,0.231,"(12, 15, 17)"
Quadratic Discriminant Analysis,0.5191,0.4833,0.8367,0.527,0.6409,-0.0364,-0.0217,0.231,"(12, 15, 17)"
Decision Tree Classifier,0.5091,0.5042,0.5533,0.5536,0.5465,0.0105,0.0135,0.224,"(12, 15, 17)"
Naive Bayes,0.5009,0.4983,0.51,0.5738,0.526,-0.0158,-0.0071,0.223,"(12, 15, 17)"
SVM - Linear Kernel,0.4909,0.0,0.5,0.27,0.35,0.0,0.0,0.229,"(12, 15, 17)"
Linear Discriminant Analysis,0.7439,0.844,0.819,0.7663,0.7755,0.4758,0.5006,0.228,"(12, 16, 17)"
Extra Trees Classifier,0.7045,0.8056,0.75,0.7511,0.7225,0.3958,0.4342,0.275,"(12, 16, 17)"
Random Forest Classifier,0.697,0.7359,0.769,0.7219,0.7321,0.3775,0.3918,0.281,"(12, 16, 17)"
Ada Boost Classifier,0.6629,0.6871,0.7024,0.6871,0.6897,0.317,0.3224,0.258,"(12, 16, 17)"
Logistic Regression,0.6311,0.6404,0.7024,0.645,0.6563,0.2515,0.2608,0.242,"(12, 16, 17)"
Light Gradient Boosting Machine,0.628,0.7229,0.7071,0.6702,0.6751,0.2399,0.2526,0.233,"(12, 16, 17)"
Ridge Classifier,0.6136,0.0,0.6857,0.6662,0.6467,0.2131,0.2443,0.227,"(12, 16, 17)"
Gradient Boosting Classifier,0.6083,0.7124,0.6048,0.6696,0.6198,0.2084,0.2181,0.266,"(12, 16, 17)"
Dummy Classifier,0.5447,0.5,1.0,0.5447,0.7051,0.0,0.0,0.226,"(12, 16, 17)"
Decision Tree Classifier,0.528,0.5276,0.5452,0.5606,0.5436,0.0576,0.0577,0.236,"(12, 16, 17)"
K Neighbors Classifier,0.5197,0.4506,0.6238,0.5541,0.5818,0.0215,0.0229,0.23,"(12, 16, 17)"
SVM - Linear Kernel,0.5189,0.0,0.7,0.3818,0.4941,0.0,0.0,0.233,"(12, 16, 17)"
Quadratic Discriminant Analysis,0.5023,0.466,0.9119,0.5152,0.6541,-0.0679,-0.0796,0.23,"(12, 16, 17)"
Naive Bayes,0.5,0.4825,0.519,0.5001,0.5049,0.0005,-0.0154,0.228,"(12, 16, 17)"
Light Gradient Boosting Machine,0.7,0.785,0.795,0.7117,0.7416,0.3878,0.4079,0.24,"(13, 15, 16)"
Extra Trees Classifier,0.6889,0.76,0.82,0.6848,0.7391,0.37,0.3953,0.28,"(13, 15, 16)"
Random Forest Classifier,0.6778,0.725,0.75,0.6814,0.7085,0.3409,0.3553,0.284,"(13, 15, 16)"
Gradient Boosting Classifier,0.6778,0.765,0.755,0.7181,0.7233,0.3359,0.3478,0.267,"(13, 15, 16)"
Logistic Regression,0.6556,0.64,0.695,0.7019,0.677,0.3043,0.3268,0.235,"(13, 15, 16)"
Ridge Classifier,0.6556,0.0,0.675,0.69,0.6709,0.3091,0.3181,0.245,"(13, 15, 16)"
Ada Boost Classifier,0.6444,0.65,0.695,0.7052,0.6761,0.2768,0.3026,0.265,"(13, 15, 16)"
Linear Discriminant Analysis,0.5667,0.635,0.575,0.6348,0.5807,0.132,0.1526,0.233,"(13, 15, 16)"
SVM - Linear Kernel,0.5556,0.0,0.9,0.5,0.6429,0.0,0.0,0.239,"(13, 15, 16)"
Naive Bayes,0.5444,0.61,0.525,0.6381,0.5283,0.0867,0.1082,0.225,"(13, 15, 16)"
Decision Tree Classifier,0.5444,0.55,0.56,0.5905,0.5616,0.0963,0.1094,0.23,"(13, 15, 16)"
Dummy Classifier,0.5444,0.5,1.0,0.5444,0.7044,0.0,0.0,0.233,"(13, 15, 16)"
Quadratic Discriminant Analysis,0.4778,0.46,0.695,0.5111,0.5779,-0.0766,-0.0824,0.227,"(13, 15, 16)"
K Neighbors Classifier,0.3778,0.4375,0.425,0.4462,0.4283,-0.2588,-0.2685,0.233,"(13, 15, 16)"
Extra Trees Classifier,0.76,0.8052,0.8367,0.7507,0.7892,0.5045,0.5172,0.277,"(13, 15, 17)"
Gradient Boosting Classifier,0.71,0.7455,0.8,0.7167,0.7478,0.395,0.4187,0.277,"(13, 15, 17)"
Random Forest Classifier,0.68,0.7448,0.8233,0.6896,0.7402,0.3296,0.3444,0.284,"(13, 15, 17)"
Ridge Classifier,0.64,0.0,0.72,0.6675,0.6759,0.2762,0.2952,0.237,"(13, 15, 17)"
Linear Discriminant Analysis,0.63,0.672,0.66,0.6731,0.6536,0.2547,0.2771,0.237,"(13, 15, 17)"
Decision Tree Classifier,0.62,0.6108,0.6067,0.6645,0.6256,0.2229,0.2299,0.235,"(13, 15, 17)"
Logistic Regression,0.61,0.5923,0.68,0.6408,0.6431,0.2162,0.2344,0.241,"(13, 15, 17)"
Light Gradient Boosting Machine,0.61,0.696,0.7467,0.633,0.6774,0.185,0.1681,0.234,"(13, 15, 17)"
Ada Boost Classifier,0.59,0.572,0.6733,0.6275,0.6442,0.1503,0.1544,0.256,"(13, 15, 17)"
Dummy Classifier,0.55,0.5,1.0,0.55,0.7083,0.0,0.0,0.234,"(13, 15, 17)"
Naive Bayes,0.53,0.5145,0.5067,0.5767,0.5291,0.0533,0.0552,0.226,"(13, 15, 17)"
K Neighbors Classifier,0.49,0.4766,0.5467,0.5386,0.532,-0.0369,-0.0324,0.237,"(13, 15, 17)"
Quadratic Discriminant Analysis,0.48,0.4625,0.72,0.5223,0.5865,-0.078,-0.074,0.231,"(13, 15, 17)"
SVM - Linear Kernel,0.47,0.0,0.2,0.11,0.1417,0.0,0.0,0.234,"(13, 15, 17)"
Extra Trees Classifier,0.7818,0.8333,0.8833,0.7649,0.8158,0.5518,0.5704,0.285,"(13, 16, 17)"
Gradient Boosting Classifier,0.7273,0.7333,0.8,0.7467,0.7633,0.4423,0.4582,0.281,"(13, 16, 17)"
Linear Discriminant Analysis,0.7273,0.8267,0.8,0.7419,0.764,0.4424,0.4543,0.241,"(13, 16, 17)"
Light Gradient Boosting Machine,0.7182,0.7633,0.8167,0.711,0.757,0.4238,0.4387,0.241,"(13, 16, 17)"
Random Forest Classifier,0.6818,0.7483,0.7333,0.7061,0.7138,0.3548,0.3649,0.284,"(13, 16, 17)"
Ada Boost Classifier,0.6818,0.7333,0.75,0.6984,0.7148,0.3526,0.3654,0.271,"(13, 16, 17)"
Ridge Classifier,0.6455,0.0,0.7667,0.653,0.7022,0.2708,0.283,0.232,"(13, 16, 17)"
Logistic Regression,0.6,0.6633,0.7167,0.6243,0.6624,0.1774,0.1886,0.239,"(13, 16, 17)"
Decision Tree Classifier,0.5818,0.585,0.55,0.6405,0.5876,0.1674,0.1723,0.236,"(13, 16, 17)"
Naive Bayes,0.5636,0.5633,0.7167,0.5808,0.638,0.0997,0.1179,0.232,"(13, 16, 17)"
Dummy Classifier,0.5455,0.5,1.0,0.5455,0.7059,0.0,0.0,0.241,"(13, 16, 17)"
Quadratic Discriminant Analysis,0.5364,0.5033,0.8667,0.553,0.672,0.0045,-0.0197,0.237,"(13, 16, 17)"
SVM - Linear Kernel,0.5091,0.0,0.6,0.3273,0.4235,0.0,0.0,0.238,"(13, 16, 17)"
K Neighbors Classifier,0.4091,0.405,0.4667,0.4536,0.4537,-0.1939,-0.2014,0.238,"(13, 16, 17)"
Extra Trees Classifier,0.74,0.7801,0.8167,0.7554,0.7739,0.4643,0.4915,0.299,"(15, 16, 17)"
Random Forest Classifier,0.69,0.7694,0.8067,0.6993,0.7383,0.3602,0.3861,0.294,"(15, 16, 17)"
Light Gradient Boosting Machine,0.67,0.6852,0.7867,0.678,0.7198,0.3295,0.3466,0.239,"(15, 16, 17)"
Ada Boost Classifier,0.65,0.7138,0.65,0.7112,0.6572,0.297,0.315,0.271,"(15, 16, 17)"
Gradient Boosting Classifier,0.65,0.6897,0.7233,0.6581,0.6829,0.2885,0.3031,0.27,"(15, 16, 17)"
Linear Discriminant Analysis,0.65,0.73,0.6433,0.7169,0.6649,0.3,0.3154,0.25,"(15, 16, 17)"
Ridge Classifier,0.63,0.0,0.7433,0.6581,0.6819,0.2371,0.2683,0.236,"(15, 16, 17)"
Quadratic Discriminant Analysis,0.61,0.5717,0.9233,0.5978,0.7225,0.1522,0.1698,0.239,"(15, 16, 17)"
Logistic Regression,0.57,0.6257,0.7267,0.6059,0.6471,0.1007,0.108,0.239,"(15, 16, 17)"
Naive Bayes,0.57,0.4998,0.82,0.5777,0.6716,0.0707,0.0954,0.248,"(15, 16, 17)"
Dummy Classifier,0.55,0.5,1.0,0.55,0.7083,0.0,0.0,0.237,"(15, 16, 17)"
Decision Tree Classifier,0.52,0.5183,0.5067,0.6067,0.5345,0.0311,0.0392,0.238,"(15, 16, 17)"
K Neighbors Classifier,0.49,0.5159,0.4967,0.5792,0.4948,-0.0145,0.006,0.237,"(15, 16, 17)"
SVM - Linear Kernel,0.49,0.0,0.3,0.17,0.2167,0.0,0.0,0.232,"(15, 16, 17)"
